"ISO","year","total_deaths","conflict"
"AFG",2000,5065,1
"AFG",2001,5394,1
"AFG",2002,5553,1
"AFG",2003,1157,1
"AFG",2004,944,1
"AFG",2005,817,1
"AFG",2006,1711,1
"AFG",2007,4982,1
"AFG",2008,7020,1
"AFG",2009,5660,1
"AFG",2010,6499,1
"AFG",2011,7151,1
"AFG",2012,7563,1
"AFG",2013,7824,1
"AFG",2014,8131,1
"AFG",2015,12549,1
"AFG",2016,17987,1
"AFG",2017,18719,1
"AFG",2018,19776,1
"AFG",2019,26889,1
"AGO",2000,2666,1
"AGO",2001,1206,1
"AGO",2002,2154,1
"AGO",2003,579,1
"AGO",2004,84,1
"AGO",2005,38,1
"AGO",2006,15,0
"AGO",2007,3,0
"AGO",2008,26,1
"AGO",2009,4,0
"AGO",2010,25,1
"AGO",2011,10,0
"AGO",2012,1,0
"AGO",2013,0,0
"AGO",2014,2,0
"AGO",2015,0,0
"AGO",2016,1,0
"AGO",2017,26,1
"AGO",2018,26,1
"AGO",2019,24,0
"ALB",2000,6,0
"ALB",2001,0,0
"ALB",2002,0,0
"ALB",2003,0,0
"ALB",2004,0,0
"ALB",2005,0,0
"ALB",2006,0,0
"ALB",2007,0,0
"ALB",2008,0,0
"ALB",2009,0,0
"ALB",2010,0,0
"ALB",2011,0,0
"ALB",2012,0,0
"ALB",2013,0,0
"ALB",2014,0,0
"ALB",2015,0,0
"ALB",2016,0,0
"ALB",2017,0,0
"ALB",2018,0,0
"ALB",2019,0,0
"AND",2000,0,0
"AND",2001,0,0
"AND",2002,0,0
"AND",2003,0,0
"AND",2004,0,0
"AND",2005,0,0
"AND",2006,0,0
"AND",2007,0,0
"AND",2008,0,0
"AND",2009,0,0
"AND",2010,0,0
"AND",2011,0,0
"AND",2012,0,0
"AND",2013,0,0
"AND",2014,0,0
"AND",2015,0,0
"AND",2016,0,0
"AND",2017,0,0
"AND",2018,0,0
"AND",2019,0,0
"ARE",2000,0,0
"ARE",2001,0,0
"ARE",2002,0,0
"ARE",2003,0,0
"ARE",2004,0,0
"ARE",2005,0,0
"ARE",2006,0,0
"ARE",2007,0,0
"ARE",2008,0,0
"ARE",2009,0,0
"ARE",2010,0,0
"ARE",2011,1,0
"ARE",2012,0,0
"ARE",2013,0,0
"ARE",2014,0,0
"ARE",2015,0,0
"ARE",2016,0,0
"ARE",2017,0,0
"ARE",2018,0,0
"ARE",2019,0,0
"ARG",2000,0,0
"ARG",2001,0,0
"ARG",2002,0,0
"ARG",2003,0,0
"ARG",2004,0,0
"ARG",2005,0,0
"ARG",2006,0,0
"ARG",2007,0,0
"ARG",2008,0,0
"ARG",2009,0,0
"ARG",2010,0,0
"ARG",2011,0,0
"ARG",2012,0,0
"ARG",2013,0,0
"ARG",2014,0,0
"ARG",2015,0,0
"ARG",2016,0,0
"ARG",2017,0,0
"ARG",2018,0,0
"ARG",2019,0,0
"ARM",2000,0,0
"ARM",2001,0,0
"ARM",2002,0,0
"ARM",2003,0,0
"ARM",2004,0,0
"ARM",2005,0,0
"ARM",2006,1,0
"ARM",2007,2,0
"ARM",2008,0,0
"ARM",2009,0,0
"ARM",2010,0,0
"ARM",2011,0,0
"ARM",2012,0,0
"ARM",2013,9,0
"ARM",2014,1,0
"ARM",2015,0,0
"ARM",2016,16,0
"ARM",2017,4,0
"ARM",2018,0,0
"ARM",2019,1,0
"ATG",2000,0,0
"ATG",2001,0,0
"ATG",2002,0,0
"ATG",2003,0,0
"ATG",2004,0,0
"ATG",2005,0,0
"ATG",2006,0,0
"ATG",2007,0,0
"ATG",2008,0,0
"ATG",2009,0,0
"ATG",2010,0,0
"ATG",2011,0,0
"ATG",2012,0,0
"ATG",2013,0,0
"ATG",2014,0,0
"ATG",2015,0,0
"ATG",2016,0,0
"ATG",2017,0,0
"ATG",2018,0,0
"ATG",2019,0,0
"AUS",2000,0,0
"AUS",2001,0,0
"AUS",2002,0,0
"AUS",2003,0,0
"AUS",2004,0,0
"AUS",2005,0,0
"AUS",2006,0,0
"AUS",2007,0,0
"AUS",2008,0,0
"AUS",2009,0,0
"AUS",2010,0,0
"AUS",2011,0,0
"AUS",2012,0,0
"AUS",2013,0,0
"AUS",2014,0,0
"AUS",2015,0,0
"AUS",2016,0,0
"AUS",2017,0,0
"AUS",2018,0,0
"AUS",2019,2,0
"AUT",2000,0,0
"AUT",2001,0,0
"AUT",2002,0,0
"AUT",2003,0,0
"AUT",2004,0,0
"AUT",2005,0,0
"AUT",2006,0,0
"AUT",2007,0,0
"AUT",2008,0,0
"AUT",2009,0,0
"AUT",2010,0,0
"AUT",2011,0,0
"AUT",2012,0,0
"AUT",2013,0,0
"AUT",2014,0,0
"AUT",2015,0,0
"AUT",2016,0,0
"AUT",2017,0,0
"AUT",2018,0,0
"AUT",2019,0,0
"AZE",2000,18,0
"AZE",2001,13,0
"AZE",2002,6,0
"AZE",2003,0,0
"AZE",2004,0,0
"AZE",2005,8,0
