"Year","ISO","Drought","Earthquake","MarMor","InfMort","NeonatalMort","Under5Mort","total_deaths","conflict"
2000,"AFG",1,0,1450,90.5,60.9,129.2,5065,1
2001,"AFG",0,1,1390,87.9,59.7,125.2,5394,1
2002,"AFG",0,1,1300,85.3,58.5,121.1,5553,1
2003,"AFG",0,1,1240,82.7,57.2,116.9,1157,1
2004,"AFG",0,1,1180,80,55.9,112.6,944,1
2005,"AFG",0,1,1140,77.3,54.6,108.4,817,1
2006,"AFG",1,1,1120,74.6,53.2,104.1,1711,1
2008,"AFG",1,0,1030,69.2,50.3,95.7,7020,1
2009,"AFG",0,1,993,66.7,48.9,91.7,5660,1
2010,"AFG",0,1,954,64.2,47.4,87.8,6499,1
2011,"AFG",1,0,905,61.8,46,84,7151,1
2012,"AFG",0,1,858,59.5,44.6,80.3,7563,1
2013,"AFG",0,1,810,57.3,43.2,76.9,7824,1
2015,"AFG",0,1,701,53.2,40.5,70.4,12549,1
2018,"AFG",1,0,NA,47.9,37.2,62.3,19776,1
2001,"AGO",1,0,766,118.2,49.2,198.4,1206,1
2004,"AGO",1,0,574,105.7,45.1,175.1,84,1
2012,"AGO",1,0,281,67.4,33.8,105.1,1,0
2017,"AGO",1,0,241,53.5,29.2,80.6,26,1
2009,"ALB",0,1,20,12.9,7.4,14.5,0,0
2019,"ALB",0,1,NA,8.6,7.5,9.7,0,0
2002,"ARG",0,1,65,16.4,10.8,18.3,0,0
2003,"ARG",1,0,65,15.8,10.3,17.7,0,0
2009,"ARG",1,0,56,13.3,7.8,14.9,0,0
2018,"ARG",1,0,NA,8.6,6,9.7,0,0
2019,"ARG",1,0,NA,8.1,5.3,9.1,0,0
2000,"ARM",1,0,43,27,16.1,30.6,0,0
2009,"ASM",0,1,NA,NA,NA,NA,NA,NA
2002,"AUS",1,0,6,5,3.4,6,0,0
2006,"AUS",1,0,5,4.7,3.1,5.6,0,0
2018,"AUS",1,0,NA,3.2,2.3,3.7,0,0
2000,"AZE",1,1,47,60.9,34.3,74.4,18,0
2012,"AZE",0,1,29,28.5,17.3,32.5,21,0
2003,"BDI",1,0,890,85.7,34.8,138.1,1576,1
2004,"BDI",0,1,844,82.3,34.1,131.9,1245,1
2005,"BDI",1,0,814,78.4,33.2,124.9,679,1
2008,"BDI",1,0,733,66.5,30.2,103.6,79,1
2009,"BDI",1,0,698,62.9,29.2,97.1,220,1
2010,"BDI",1,0,665,59.4,28.2,91,0,0
2001,"BFA",1,0,501,89.3,39.9,174.9,0,0
2011,"BFA",1,0,377,66.3,30.5,116.9,0,0
2014,"BFA",1,0,353,61.2,28.8,104.5,0,0
2000,"BGD",0,1,434,63.1,44,86,14,0
2003,"BGD",0,1,395,54.3,38.8,72.3,6,0
2004,"BGD",0,1,372,51.8,37.3,68.3,8,0
2009,"BGD",1,0,269,40.7,30.6,51.8,13,0
2015,"BGD",0,1,200,31,23.6,38.1,2,0
2016,"BGD",0,1,186,29.6,22.4,36.1,10,0
2000,"BGR",1,0,19,14.4,7.9,17.5,0,0
2006,"BGR",0,1,14,10.3,5.6,12.4,0,0
2012,"BGR",0,1,11,8.2,4.8,9.8,0,0
2000,"BIH",1,0,17,8.7,6.9,9.9,0,0
2003,"BIH",1,0,14,8.1,5.9,9.2,0,0
2000,"BOL",1,0,331,55.9,29.6,75.6,0,0
2004,"BOL",1,0,283,45.4,26.8,59.6,0,0
2008,"BOL",1,0,234,36.7,23.7,46.9,0,0
2010,"BOL",1,0,212,33,21.8,41.6,0,0
2013,"BOL",1,0,184,28,18.7,34.9,0,0
2014,"BOL",1,0,175,26.6,17.6,33,0,0
2016,"BOL",1,0,161,24.3,15.9,29.9,0,0
2001,"BRA",1,0,68,28.5,17.6,32.5,46,1
